timestamp,name,rssi
2013-05-25 12:04:35.988000,Mother,-99
2013-05-25 12:05:38.308000,Mother,-85
2013-05-25 12:06:32.664000,Mother,-89
2013-05-25 12:07:35.513000,Mother,-94
2013-05-25 12:08:35.583000,Mother,-95
2013-05-25 12:09:35.788000,Mother,-88
2013-05-25 12:10:32.780000,Mother,-89
2013-05-25 12:12:33.190000,Mother,-87
2013-05-25 12:13:16.892000,Mother,-92
2013-05-25 12:14:15.922000,Mother,-86
2013-05-25 12:15:14.792000,Mother,-90
2013-05-25 12:16:19.455000,Mother,-99
2013-05-25 12:17:14.755000,Mother,-89
2013-05-25 12:18:17.428000,Mother,-97
2013-05-25 12:19:16.564000,Mother,-89
2013-05-25 12:20:14.758000,Mother,-91
2013-05-25 12:21:18.899000,Mother,-87
2013-05-25 12:22:19.080000,Mother,-86
2013-05-25 12:23:16.967000,Mother,-93
2013-05-25 12:24:19.042000,Mother,-88
2013-05-25 12:25:16.737000,Mother,-85
2013-05-25 12:26:15.122000,Mother,-84
2013-05-25 12:27:14.976000,Mother,-90
2013-05-25 12:28:15.483000,Mother,-84
2013-05-25 12:29:15.421000,Mother,-87
2013-05-25 12:30:17.374000,Mother,-83
2013-05-25 12:31:15.375000,Mother,-89
2013-05-25 12:32:15.986000,Mother,-92
2013-05-25 12:33:17.298000,Mother,-99
2013-05-25 12:35:15.122000,Mother,-84
2013-05-25 12:36:14.693000,Mother,-86
2013-05-25 12:37:17.527000,Mother,-84
2013-05-25 12:38:19.295000,Mother,-92
2013-05-25 12:39:21.549000,Mother,-91
2013-05-25 12:40:18.905000,Mother,-83
2013-05-25 12:41:17.078000,Mother,-88
2013-05-25 12:42:19.365000,Mother,-88
2013-05-25 12:43:18.450000,Mother,-88
2013-05-25 12:44:18.188000,Mother,-89
2013-05-25 12:45:16.348000,Mother,-86
2013-05-25 12:45:55.924000,Mother,-86
2013-05-25 12:46:53.405000,Mother,-93
2013-05-25 12:47:55.729000,Mother,-87
2013-05-25 12:48:52.763000,Mother,-87
2013-05-25 12:48:53.240000,Mother,-89
2013-05-25 12:49:52.665000,Mother,-87
2013-05-25 12:50:55.439000,Mother,-90
2013-05-25 12:51:52.953000,Mother,-92
2013-05-25 12:52:55.600000,Mother,-86
2013-05-25 12:53:53.193000,Mother,-92
2013-05-25 12:55:13.392000,Mother,-87
2013-05-25 12:56:16.155000,Mother,-90
2013-05-25 12:57:15.867000,Mother,-96
2013-05-25 12:58:21.263000,Mother,-101
2013-05-25 12:59:15.329000,Mother,-94
2013-05-25 13:00:13.549000,Mother,-89
2013-05-25 13:01:16.463000,Mother,-91
2013-05-25 13:01:53.950000,Mother,-95
2013-05-25 13:02:55.703000,Mother,-92
2013-05-25 13:03:52.952000,Mother,-92
2013-05-25 13:04:36.872000,Mother,-87
2013-05-25 13:05:36.229000,Mother,-91
2013-05-25 13:06:33.832000,Mother,-88
2013-05-25 13:07:41.590000,Mother,-87
2013-05-25 13:11:35.467000,Mother,-88
2013-05-25 13:12:33.665000,Mother,-87
2013-05-25 13:15:35.293000,Mother,-100
2013-05-25 13:15:36.040000,Mother,-88
2013-05-25 13:29:56.978000,Mother,-80
2013-05-25 13:34:54.358000,Mother,-81
2013-05-25 13:35:54.350000,Mother,-94
2013-05-25 13:36:54.609000,Mother,-81
2013-05-25 13:37:58.015000,Mother,-86
2013-05-25 13:38:59.046000,Mother,-82
2013-05-25 13:39:53.690000,Mother,-83
2013-05-25 13:40:57.386000,Mother,-82
2013-05-25 13:41:57.012000,Mother,-83
2013-05-25 13:42:54.840000,Mother,-87
2013-05-25 13:43:54.748000,Mother,-83
2013-05-25 13:44:56.985000,Mother,-86
2013-05-25 13:45:55.649000,Mother,-81
2013-05-25 13:46:55.310000,Mother,-92
2013-05-25 13:47:54.062000,Mother,-84
2013-05-25 13:48:56.803000,Mother,-82
2013-05-25 13:49:57.358000,Mother,-84
2013-05-25 13:50:54.448000,Mother,-82
2013-05-25 13:52:59.394000,Mother,-94
2013-05-25 13:53:57.079000,Mother,-97
2013-05-25 13:55:57.451000,Mother,-97
2013-05-25 13:56:59.040000,Mother,-81
2013-05-25 13:57:55.510000,Mother,-85
2013-05-25 13:58:34.915000,Mother,-89
2013-05-25 13:59:59.535000,Mother,-84
2013-05-25 14:00:54.899000,Mother,-79
2013-05-25 14:01:54.703000,Mother,-78
2013-05-25 14:02:57.728000,Mother,-87
2013-05-25 14:03:54.651000,Mother,-83
2013-05-25 14:05:57.860000,Mother,-81
2013-05-25 14:06:55.419000,Mother,-90
2013-05-25 14:07:55.716000,Mother,-87
2013-05-25 14:08:56.326000,Mother,-84
2013-05-25 14:09:58.821000,Mother,-93
2013-05-25 14:10:55.053000,Mother,-80
2013-05-25 14:11:58.128000,Mother,-89
2013-05-25 14:13:01.515000,Mother,-86
2013-05-25 14:13:55.512000,Mother,-77
2013-05-25 14:14:55.531000,Mother,-78
2013-05-25 14:15:58.491000,Mother,-85
2013-05-25 14:16:54.559000,Mother,-84
2013-05-25 14:17:56.131000,Mother,-77
2013-05-25 14:18:58.311000,Mother,-82
2013-05-25 14:19:54.448000,Mother,-81
2013-05-25 14:20:55.185000,Mother,-85
2013-05-25 14:21:55.312000,Mother,-78
2013-05-25 14:22:57.946000,Mother,-80
2013-05-25 14:23:56.380000,Mother,-98
2013-05-25 14:26:01.378000,Mother,-79
2013-05-25 14:26:55.523000,Mother,-79
2013-05-25 14:27:57.449000,Mother,-81
2013-05-25 14:28:55.144000,Mother,-83
2013-05-25 14:29:55.148000,Mother,-82
2013-05-25 14:30:57.598000,Mother,-82
2013-05-25 14:31:55.700000,Mother,-87
2013-05-25 14:32:54.910000,Mother,-78
2013-05-25 14:33:57.577000,Mother,-80
2013-05-25 14:34:59.239000,Mother,-82
2013-05-25 14:35:54.993000,Mother,-81
2013-05-25 14:36:39.939000,Mother,-78
2013-05-25 14:37:37.121000,Mother,-84
2013-05-25 14:38:34.982000,Mother,-79
2013-05-25 14:39:15.492000,Mother,-111
2013-05-25 14:40:19.533000,Mother,-78
2013-05-25 14:41:18.159000,Mother,-82
2013-05-25 14:42:14.982000,Mother,-82
2013-05-25 14:43:16.336000,Mother,-88
2013-05-25 14:43:57.855000,Mother,-84
2013-05-25 14:44:58.914000,Mother,-82
2013-05-25 14:45:56.189000,Mother,-83
2013-05-25 14:46:55.879000,Mother,-85
2013-05-25 14:47:56.375000,Mother,-80
2013-05-25 14:48:58.366000,Mother,-81
2013-05-25 14:49:58.207000,Mother,-85
2013-05-25 14:51:17.547000,Mother,-78
2013-05-25 14:52:17.240000,Mother,-86
2013-05-25 14:53:19.243000,Mother,-88
2013-05-25 14:53:19.748000,Mother,-94
2013-05-25 14:54:15.184000,Mother,-108
2013-05-25 14:55:16.148000,Mother,-80
2013-05-25 14:56:19.072000,Mother,-87
2013-05-25 14:57:18.402000,Mother,-80
2013-05-25 14:58:16.241000,Mother,-80
2013-05-25 14:59:20.769000,Mother,-84
2013-05-25 15:00:16.083000,Mother,-93
2013-05-25 15:01:18.470000,Mother,-81
2013-05-25 15:02:15.503000,Mother,-85
2013-05-25 15:03:17.186000,Mother,-89
2013-05-25 15:04:19.138000,Mother,-82
2013-05-25 15:05:19.176000,Mother,-81
2013-05-25 15:06:16.362000,Mother,-81
2013-05-25 15:07:16.469000,Mother,-79
2013-05-25 15:08:16.475000,Mother,-83
2013-05-25 15:09:48.325000,Mother,-88
2013-05-25 15:10:46.933000,Mother,-87
2013-05-25 15:11:51.310000,Mother,-77
2013-05-25 15:12:46.395000,Mother,-85
2013-05-25 15:13:50.529000,Mother,-80
2013-05-25 15:14:49.527000,Mother,-89
2013-05-25 15:17:45.825000,Mother,-91
2013-05-25 15:18:51.416000,Mother,-96
2013-05-25 15:19:51.287000,Mother,-95
2013-05-25 15:21:18.692000,Mother,-87
2013-05-25 15:21:58.059000,Mother,-81
2013-05-25 15:23:18.622000,Mother,-89
2013-05-25 15:24:18.673000,Mother,-82
2013-05-25 15:25:19.836000,Mother,-83
2013-05-25 15:26:17.008000,Mother,-87
2013-05-25 15:27:19.100000,Mother,-87
2013-05-25 15:28:17.152000,Mother,-81
2013-05-25 15:29:17.332000,Mother,-86
2013-05-25 15:30:17.695000,Mother,-81
2013-05-25 15:31:17.095000,Mother,-86
2013-05-25 15:33:18.818000,Mother,-86
2013-05-25 15:34:17.204000,Mother,-84
2013-05-25 15:35:19.774000,Mother,-81
2013-05-25 15:36:22.320000,Mother,-81
2013-05-25 15:37:17.474000,Mother,-97
2013-05-25 15:38:20.071000,Mother,-87
2013-05-25 15:39:20.005000,Mother,-80
2013-05-25 15:40:18.007000,Mother,-83
2013-05-25 15:41:17.603000,Mother,-86
2013-05-25 15:42:21.008000,Mother,-88
2013-05-25 15:43:20.208000,Mother,-92
2013-05-25 15:44:17.623000,Mother,-63
2013-05-25 15:45:17.423000,Mother,-70
2013-05-25 15:46:20.574000,Mother,-73
2013-05-25 15:47:17.652000,Mother,-80
2013-05-25 15:49:21.739000,Mother,-88
2013-05-25 15:53:56.138000,Mother,-92
2013-05-25 16:02:50.023000,Mother,-88
2013-05-25 16:03:54.226000,Mother,-96
2013-05-25 16:05:50.242000,Mother,-86
2013-05-25 16:06:55.064000,Mother,-94
2013-05-25 16:10:47.907000,Mother,-91
2013-05-25 16:10:48.050000,Mother,-90
2013-05-25 16:14:47.428000,Mother,-95
2013-05-25 16:15:54.128000,Mother,-96
2013-05-25 16:17:47.447000,Mother,-97
2013-05-25 16:18:48.239000,Mother,-87
2013-05-25 16:19:50.522000,Mother,-84
2013-05-25 16:20:47.692000,Mother,-85
2013-05-25 16:21:47.814000,Mother,-85
2013-05-25 16:21:48.146000,Mother,-88
2013-05-25 16:22:48.002000,Mother,-83
2013-05-25 16:23:50.183000,Mother,-82
2013-05-25 16:24:49.182000,Mother,-87
2013-05-25 16:25:50.579000,Mother,-89
2013-05-25 16:26:47.821000,Mother,-89
2013-05-25 16:27:47.910000,Mother,-88
2013-05-25 16:28:47.393000,Mother,-88
2013-05-25 16:29:50.015000,Mother,-83
2013-05-25 16:30:47.561000,Mother,-88
2013-05-25 16:30:47.852000,ubuntu-0,-53
2013-05-25 16:31:47.668000,ubuntu-0,-53
2013-05-25 16:31:47.827000,Mother,-88
2013-05-25 16:32:47.699000,Mother,-96
2013-05-25 16:32:49.422000,ubuntu-0,-55
2013-05-25 16:33:47.715000,ubuntu-0,-53
2013-05-25 16:33:50.513000,Mother,-88
2013-05-25 16:34:46.945000,ubuntu-0,-79
2013-05-25 16:34:53.900000,Mother,-91
2013-05-25 16:35:47.604000,ubuntu-0,-52
2013-05-25 16:35:51.239000,Mother,-87
2013-05-25 16:36:48.341000,Mother,-91
2013-05-25 16:36:49.542000,ubuntu-0,-52
2013-05-25 16:37:47.024000,ubuntu-0,-80
2013-05-25 16:37:47.761000,Mother,-88
2013-05-25 16:38:47.565000,ubuntu-0,-52
